 yt   xt
3.09 0.29
4.89 -0.5
3.63 -0.69
-0.11 0.19
1.28 1.69
8.17 1.06
14.4 0.11
15.08 0.39
14.31 0.62
16.83 -0.93
11.31 -0.21
8.99 2.36
13.18 -0.19
17.09 0.79
14.99 -2.06
11.26 2.33
11.51 -0.3
14.25 -0.22
11.57 0.84
12.85 1.35
16.74 1.46
23.57 1.87
26.84 -1.68
22.77 -0.55
11.18 -2.16
2.09 1.5
3.92 -1.95
0.21 2.46
4.53 0.27
9.92 1.52
14.16 0.85
19.29 -1.34
14.12 0.32
11.12 -0.15
8.54 0.77
9.95 -2.06
4.15 -0.55
-1.24 -1.55
-6.59 1.2
-5.21 -1.8
-5.23 -0.46
-8.56 -0.3
-7.18 -0.74
-7.38 -1.08
-10.49 1.12
-4.28 -0.16
-2.99 -0.18
0.39 0.58
-0.02 1
5.73 -0.16
6.53 2.04
11.52 0.45
14.95 2.12
21.76 -1.19
17.58 1.22
18.82 -1.88
10.96 0.9
10.44 -1.46
5.36 1.35
8.65 -1.63
2.97 1.32
5.74 -1.64
2.53 0.2
1.56 0.21
2.56 -0.23
3.88 -0.18
0.32 0.39
3.69 -2.3
-4.21 0.27
-5.71 1.23
0.99 0.4
3.97 0.93
9.85 0.13
10.73 -0.36
8.27 -0.49
6.62 -0.34
2.92 1.62
6.83 -0.48
9.19 0.9
9.66 -0.25
9.51 0.8
10.33 -1.03
7.91 -1.85
-0.98 0.2
-1.58 -0.99
-5.71 -1.03
-6.4 -1.78
-14.02 -0.07
-13.05 0.72
-9.26 -1.55
-7.64 -1.11
-13.48 -1.02
-14.13 -0.03
-15.16 -0.87
-12.16 -0.07
-11.53 -1.03
-11.54 0.89
-7.76 -1.43
-7.42 0.92
-3.41 -0.1
-0.98 -0.75
-2.61 1.24
-0.33 -2.41
-3.13 -0.85
-7.7 0.01
-7.58 -0.55
-5.84 0.87
-3.7 -0.64
-1.48 2.43
5.51 -0.43
9.53 2.55
14.19 -0.29
17.19 -0.46
13.08 -1.81
4.07 0.24
3.15 -0.01
2.48 -0.73
1.61 -0.86
-3.2 0
-2.3 1.18
1.49 -1.05
0.49 -1.25
-4.68 -0.74
-8.9 1.04
-3.15 1.21
1.91 -0.73
2.72 -0.19
1.34 2.44
8.64 -3.47
2.63 -1.57
-9.35 -0.34
-9.42 -0.42
-10.46 -0.26
-8.57 0.38
-5.61 0.96
0 -0.07
2.89 -0.92
1.39 -0.53
-2.81 0.57
-0.2 0.7
1.45 -0.48
3.13 -0.87
-0.17 -0.09
-0.96 -0.47
0.42 0.54
-0.02 0.63
5.97 -1.24
4.64 0.75
3.95 -0.62
3.28 0.52
4.16 0.12
4.67 -0.74
3.56 1.45
7.17 -1.56
4.57 1.27
5 -1.65
2.25 1.55
3.82 -1.21
4.33 -0.03
1.39 -1.25
-2.79 1.43
2.14 -1.7
-0.78 4.46
10.77 -1.19
16.73 0.2
10.73 0.11
11.66 -1.12
7.85 1.24
8.46 0.56
12.83 -0.08
11.6 -0.98
8.19 1.22
8.41 0.57
12.37 -0.92
9.24 -0.46
3.87 -1.12
0.89 0.99
3.53 0.58
6.5 -0.47
7.76 -0.25
5.11 0.09
7.74 -0.77
2.03 1.24
6.47 1.15
11.8 -0.12
13.48 0.29
12.28 0.32
11.94 0.8
13.83 0.38
14.8 1.11
16.82 -1.63
11.18 2.33
14.94 -1.79
12.57 1.37
11.85 -1.25
8.81 1.81
12.2 -1.15
10.52 -0.39
6.26 -2.14
-1.46 1.56
0.74 -0.4
2.07 0.35
3.28 0.27
2.85 1.6
10.98 -0.15
11.9 0.8
15.3 -1.2
7.22 -0.87
4.12 0.4
3.81 -0.29
2.72 -0.85
-0.76 -0.06
-2.54 -0.11
-1.63 -1.31
-3.45 0.57
-3.06 -0.89
-1.45 0.47
-2.17 -1.15
-0.85 -0.7
-5.22 -0.44
-5.63 0.6
-2.96 -1.34
-2.69 0.7
-4.09 -0.74
-3.31 0.42
-0.7 -1.02
-2.29 -0.39
-3.9 -0.14
-3.41 0.48
-0.4 0.57
4.08 0.79
6.69 -0.3
7.08 0.28
7.9 -0.71
4.93 -0.22
3.07 -0.13
2.6 -0.79
0.34 0.08
0.71 -0.03
1.65 1.15
5.37 -0.97
4.33 1.48
6.99 -1.47
5.1 -0.14
1.49 0.26
2.49 1.4
7.94 -0.46
8.81 1.7
12.33 -2.15
6.24 0.18
3.31 0.54
6.01 0.52
9.21 -0.53
7.57 -0.32
4.4 -0.14
3.95 -0.12
4.39 -1.61
-1.78 -0.98
-7.03 -0.51
-7.64 -1.39
-10.34 0.78
-7.62 0.3
-1.78 -0.75
-3.1 -0.02
-3.62 -2.17
-8.97 0.56
-7.71 0.68
-2.67 1.96
6.45 0.17
10.73 -0.86
5.8 0.73
8.27 0.96
11.12 0.36
15.24 -0.72
12.61 -0.04
10.49 1.22
10.98 1.27
15.56 -1.27
13.17 -0.69
6.73 0.29
6.1 -1.1
3.16 -0.31
-0.2 1.9
6.76 2.4
16.96 -0.59
16.06 -0.33
13.71 0.21
10.96 -0.82
8.61 1.49
10.14 0.06
11.75 1.1
14.21 0.2
14.99 0.86
15.25 -2.28
8.08 -1.59
-3.17 0.08
-2.7 0.1
-1.48 1.61
7.21 -0.87
7.46 2.09
11.72 -0.78
11.98 1.22
13.31 -0.33
13.69 2.84
19.99 -1.21
18.05 0.5
14.2 -1.18
9.65 -2.01
1.61 0.83
0.02 0.75
4.33 -1.13
4.06 -0.16
0.88 1.7
7.26 -2.31
3.59 -0.59
-5.05 -0.61
-2.48 0.2
-2.93 0.74
2.54 -0.76
-1.15 0.74
3.12 -1.57
-1.56 0.63
-1.64 -2.66
-7.09 0.88
-6.98 -0.59
-4.91 1.4
-1.22 -0.64
1 0.6
1.4 -0.46
4.07 -0.25
2.47 -0.29
2.26 0.08
2.2 -0.11
1.26 0.47
5.08 -0.83
2.58 0.08
2.69 0.27
3.59 -0.13
4.89 -0.81
1.53 0.84
3.29 -1.29
1.65 -1.41
-3.99 0.45
-2.84 -0.12
-0.9 -0.88
-2.83 1.21
0.58 1.07
8.19 -1.18
5.82 0.9
7.16 -0.53
5.36 1.28
10.01 0.02
10.56 0.27
10.89 0.15
11.85 1.21
15.09 -0.55
14.18 0.91
14.33 -0.13
13.65 2.13
17.86 -2.33
11.5 0.62
7.91 -0.2
6.67 0.07
6.79 1.11
9.28 1.57
16.96 -0.53
13.97 1.11
14.93 -1.36
10.65 -0.24
5.99 0.84
8.01 -0.34
9.07 0.36
8.74 -1.37
4.18 0.76
4.85 -1.01
0.71 -1.23
-1.68 0.93
-2.69 -1.8
-3.42 -0.46
-7.64 0.19
-3.71 -1.64
-8.58 0.64
-7.06 -0.39
-3.85 0.53
-1.75 -1.58
-3.24 0.43
-3.11 -0.89
-2.23 0.04
-3.05 -0.48
-2.82 0.25
-2.37 -1.5
-3.1 -0.93
-7.83 -0.04
-5.24 -2.18
-10.06 0.42
-9.16 -0.1
-7.78 2.14
1.71 -1.15
2.74 1
2.37 -0.41
5.21 0.84
6.11 0.6
9.12 1.73
14.86 -1.15
14.3 -0.45
7.15 -0.67
5.64 -0.02
1.22 0.73
5.4 -0.7
3.26 0.41
4.39 -0.76
2.06 1.76
8.24 -0.28
8.94 -0.25
7.97 -0.12
6.58 3.11
13.5 -2.55
11.81 2.08
10.08 0.86
15.7 0.66
17.47 2.09
23.37 0.26
24.29 0.25
21.37 0.94
19.6 -1.39
16.3 1.38
13.92 0.3
14.88 0.34
13.7 0.22
13.03 -0.4
10.8 0.6
9.53 -1.45
7.62 0.81
5.44 -0.59
7.01 -1.14
2.58 -1.16
-3.9 1.24
0.21 0.45
3.31 0.41
6.91 0.17
7.99 -1.23
3.11 -1.34
-3.03 -0.59
-4.76 0.34
-4.22 -1.88
-6.94 1.39
-4.54 -0.47
0.27 1.76
4.44 -0.25
8.38 -0.32
7.02 0.03
5.15 -0.05
6.48 -0.32
4.78 -0.32
3.91 1.76
9.72 -2.06
6.44 0.08
3 -0.89
1.71 0.79
2.7 0.66
7.65 -0.3
8.36 -1.07
3.32 0.28
2.55 -0.05
2.32 -1.14
1.13 0.64
0.12 -1.07
1.07 0.2
-0.41 -0.8
0.32 -0.24
-1.86 0.43
1.65 0.03
1.11 0.43
4.27 -2
-2.84 1.4
-0.76 -0.9
0.3 0.25
1.01 -0.24
0.89 -0.56
1.22 -0.25
-1.57 0.07
0.34 1.5
6.5 -0.46
8.53 1.42
10.89 0.43
14.76 0.01
12.73 -0.11
11.41 -0.51
8.67 1.22
9.07 0.32
11.45 1.4
12.82 -0.62
13.55 -0.81
8.38 1.12
8.55 -1.33
7.29 0.01
3.71 -0.76
2.1 1.02
5.37 -1.58
2.19 1.43
